NoiseType,MMSE,SignalPower
impulse_spikes,0.0,0.5
white,0.0,0.5
pink,0.0,0.48500000000000004
brown,0.0,0.503
multi_tone,0.0,0.535
impulse_spikes,0.0,0.43
white,0.0,0.5050000000000001
pink,0.0,0.458
brown,0.0,0.47300000000000003
multi_tone,0.1,0.44200000000000006
impulse_spikes,0.0,0.48200000000000004
white,0.0,0.5130000000000001
pink,0.0,0.4580000000000001
brown,0.0,0.5030000000000001
multi_tone,0.0,0.4830000000000001
impulse_spikes,0.1,0.46499999999999997
white,0.0,0.536
pink,0.0,0.4960000000000001
brown,0.3,0.23700000000000002
multi_tone,0.0,0.5090000000000001
impulse_spikes,0.1,0.391
white,0.0,0.495
pink,0.0,0.5120000000000001
brown,0.0,0.5010000000000001
multi_tone,0.0,0.47400000000000003
impulse_spikes,0.1,0.42700000000000005
white,0.1,0.445
pink,0.1,0.434
brown,0.1,0.166
multi_tone,0.0,0.48200000000000004
impulse_spikes,0.1,0.393
white,0.0,0.4620000000000001
pink,0.1,0.42000000000000004
brown,0.0,0.457
multi_tone,0.1,0.4
impulse_spikes,0.1,0.44300000000000006
white,0.0,0.5010000000000001
pink,0.0,0.515
brown,0.0,0.4910000000000001
multi_tone,0.3,0.13599999999999998
impulse_spikes,0.1,0.4029999999999999
white,0.0,0.53
pink,0.1,0.45199999999999996
brown,0.0,0.47800000000000004
multi_tone,0.0,0.4720000000000001
impulse_spikes,0.1,0.446
white,0.0,0.49400000000000005
pink,0.1,0.43499999999999994
brown,0.0,0.495
multi_tone,0.0,0.472
impulse_spikes,0.0,0.4720000000000001
white,0.0,0.48500000000000004
pink,0.0,0.4830000000000001
brown,0.0,0.47700000000000004
multi_tone,0.0,0.4720000000000001
impulse_spikes,0.0,0.483
white,0.1,0.45499999999999996
pink,0.1,0.417
brown,0.0,0.49000000000000005
multi_tone,0.0,0.502
impulse_spikes,0.0,0.4040000000000001
white,0.0,0.484
pink,0.0,0.5050000000000001
brown,0.0,0.5000000000000001
multi_tone,0.3,0.14800000000000002
impulse_spikes,0.1,0.45200000000000007
white,0.0,0.519
pink,0.0,0.501
brown,0.0,0.49800000000000005
multi_tone,0.1,0.352
impulse_spikes,0.0,0.39
white,0.0,0.43199999999999994
pink,0.1,0.45100000000000007
brown,0.0,0.5
multi_tone,0.0,0.518
impulse_spikes,0.1,0.4050000000000001
white,0.0,0.5050000000000001
pink,0.0,0.51
brown,0.0,0.518
multi_tone,0.0,0.49400000000000005
impulse_spikes,0.1,0.46399999999999997
white,0.0,0.5
pink,0.0,0.4640000000000001
brown,0.0,0.48900000000000005
multi_tone,0.1,0.39
impulse_spikes,0.0,0.4710000000000001
white,0.0,0.48100000000000004
pink,0.0,0.503
brown,0.1,0.39499999999999996
multi_tone,0.0,0.503
impulse_spikes,0.0,0.4910000000000001
white,0.0,0.512
pink,0.0,0.4720000000000001
brown,0.0,0.48500000000000004
multi_tone,0.0,0.519
impulse_spikes,0.0,0.476
white,0.0,0.4710000000000001
pink,0.0,0.49800000000000005
brown,0.0,0.502
multi_tone,0.0,0.5050000000000001
impulse_spikes,0.0,0.4790000000000001
white,0.0,0.4800000000000001
pink,0.0,0.523
brown,0.0,0.48600000000000004
multi_tone,0.0,0.5
impulse_spikes,0.0,0.4720000000000001
white,0.1,0.4480000000000001
pink,0.0,0.502
brown,0.0,0.529
multi_tone,0.1,0.458
impulse_spikes,0.1,0.377
white,0.0,0.49000000000000005
pink,0.1,0.4660000000000001
brown,0.0,0.4580000000000001
multi_tone,0.0,0.43099999999999994
impulse_spikes,0.0,0.4670000000000001
white,0.0,0.5120000000000001
pink,0.0,0.49700000000000005
brown,0.0,0.45100000000000007
multi_tone,0.0,0.511
impulse_spikes,0.0,0.49300000000000005
white,0.0,0.49300000000000005
pink,0.0,0.465
brown,0.0,0.49800000000000005
multi_tone,0.0,0.48900000000000005
impulse_spikes,0.0,0.493
white,0.0,0.492
pink,0.0,0.514
brown,0.0,0.48
multi_tone,0.0,0.483
impulse_spikes,0.0,0.5010000000000001
white,0.0,0.48600000000000004
pink,0.0,0.4750000000000001
brown,0.0,0.49400000000000005
multi_tone,0.0,0.45299999999999996
impulse_spikes,0.0,0.523
white,0.0,0.46699999999999997
pink,0.1,0.45499999999999996
brown,0.2,0.32099999999999995
multi_tone,0.0,0.35700000000000004
impulse_spikes,0.0,0.504
white,0.0,0.462
pink,0.0,0.47300000000000003
brown,0.0,0.5010000000000001
multi_tone,0.1,0.26400000000000007
impulse_spikes,0.0,0.4600000000000001
white,0.0,0.4830000000000001
pink,0.0,0.4600000000000001
brown,0.1,0.365
multi_tone,0.1,0.41600000000000004
impulse_spikes,0.0,0.483
white,0.0,0.429
pink,0.0,0.4720000000000001
brown,0.0,0.48500000000000004
multi_tone,0.0,0.457
impulse_spikes,0.1,0.42400000000000004
white,0.1,0.40700000000000003
pink,0.0,0.519
brown,0.0,0.497
multi_tone,0.0,0.508
impulse_spikes,0.0,0.466
white,0.0,0.497
pink,0.0,0.48900000000000005
brown,0.5,0.025
multi_tone,0.0,0.49300000000000005
impulse_spikes,0.2,0.36100000000000004
white,0.0,0.502
pink,0.0,0.4640000000000001
brown,0.0,0.51
multi_tone,0.4,0.011000000000000001
impulse_spikes,0.0,0.4980000000000001
white,0.0,0.48900000000000005
pink,0.0,0.453
brown,0.0,0.518
